Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
White,Yellow,2,2,3-6,Quinn Feikema,1,8,4,,,2,4,5,FALSE,3,6,,
White,Yellow,2,2,3-6,Declan Croucher,0,6,7,,,3,1,5,FALSE,3,6,2,
Red,Light Blue,2,2,2-6,Ethan Seamer,0,5,0,,,1,4,2,FALSE,2,6,2,
Red,Light Blue,2,2,2-6,Lewis Mossman,0,9,4,,,1,0,1,FALSE,2,6,,
Light Blue,Red,2,2,6-2,Angus Hume,0,4,1,,,1,7,3,TRUE,6,2,4,
Light Blue,Red,2,2,6-2,Emerson Wise,1,1,3,,,0,6,2,TRUE,6,2,6,
Pink,Black,2,3,5-5,Jonathan Kierce,0,8,3,,,0,5,5,TRUE,5,5,5,
Pink,Black,2,3,5-5,Damon Maurice,0,8,4,,,0,4,2,TRUE,5,5,2,
Black,Pink,2,3,5-5,Charlie Simpson,1,10,1,,,1,6,7,FALSE,5,5,5,
Black,Pink,2,3,5-5,Jim Papa,0,10,5,,,1,3,0,FALSE,5,5,,
Yellow,Red,2,3,5-5,Luke Sharrock,0,6,4,,,1,5,9,FALSE,5,5,5,
Yellow,Red,2,3,5-5,Max Razums,0,10,7,,,1,1,1,FALSE,5,5,,
Red,Yellow,2,3,5-5,Lewis Mossman,1,6,6,,,4,6,6,TRUE,5,5,5,
Red,Yellow,2,3,5-5,Ethan Seamer,0,15,4,,,1,6,5,TRUE,5,5,2,
Orange,Light Blue,2,3,6-4,Ed Simpson,0,18,0,,,0,2,5,TRUE,6,4,5,
Orange,Light Blue,2,3,6-4,Quinn Feikema (Fill-in),0,7,0,,,0,4,3,TRUE,6,4,2,
Light Blue,Orange,2,3,4-6,Emerson Wise,0,8,1,,,1,4,4,FALSE,4,6,5,
Light Blue,Orange,2,3,4-6,Angus Hume,0,11,0,,,0,4,1,FALSE,4,6,,
Navy,Green,2,3,6-0,Archie Littlejohn,0,1,3,,,0,3,2,TRUE,6,0,4,
Navy,Green,2,3,6-0,Will Mumme,1,1,1,,,1,1,3,TRUE,6,0,6,
Green,Navy,2,3,0-6,Ted Angel,0,6,3,,,2,1,2,FALSE,0,6,1,
Green,Navy,2,3,0-6,Jack Raines,0,6,2,,,0,0,1,FALSE,0,6,1,
Pink,White,2,4,4-6,Jonathan Kierce,0,8,2,,,0,2,8,FALSE,4,6,2,
Pink,White,2,4,4-6,Damon Maurice,0,6,5,,,0,0,1,FALSE,4,6,,
White,Pink,2,4,6-4,Quinn Feikema,1,7,4,,,0,2,5,TRUE,6,4,6,
White,Pink,2,4,6-4,Declan Croucher,0,3,6,,,1,3,3,TRUE,6,4,4,
Red,Navy,2,4,4-6,Ethan Seamer,0,10,7,,,1,3,1,FALSE,4,6,,
Red,Navy,2,4,4-6,Lewis Mossman,2,6,1,,,2,5,3,FALSE,4,6,2,
Navy,Red,2,4,6-4,Will Mumme,0,5,4,,,5,7,4,TRUE,6,4,6,
Navy,Red,2,4,6-4,Quinn Feikema (Fill-in),0,7,1,,,0,6,5,TRUE,6,4,4,
Orange,Yellow,2,4,2-6,Ed Simpson,1,9,2,,,1,2,1,FALSE,2,6,1,
Orange,Yellow,2,4,2-6,Jimmy Gorton,0,5,3,,,2,4,2,FALSE,2,6,4,
Yellow,Orange,2,4,6-2,Luke Sharrock,0,2,1,,,3,6,5,TRUE,6,2,6,
Yellow,Orange,2,4,6-2,Max Razums,0,5,2,,,2,3,0,TRUE,6,2,1,
Green,Black,2,4,5-5,Jack Raines,2,9,2,,,0,2,0,TRUE,5,5,4,
Green,Black,2,4,5-5,Ted Angel,1,7,1,,,0,6,1,TRUE,5,5,3,
Black,Green,2,4,5-5,Charlie Simpson,0,7,1,,,0,9,2,FALSE,5,5,5,
Black,Green,2,4,5-5,Dimitri Liva,0,13,0,,,4,1,1,FALSE,5,5,,
Pink,Light Blue,2,5,3-6,Jonathan Kierce,0,9,2,,,1,5,2,FALSE,3,6,3,
Pink,Light Blue,2,5,3-6,Damon Maurice,0,5,2,,,2,0,1,FALSE,3,6,,
Light Blue,Pink,2,5,6-3,Emerson Wise,1,5,1,,,0,3,1,TRUE,6,3,6,
Light Blue,Pink,2,5,6-3,Angus Hume,0,8,3,,,0,5,1,TRUE,6,3,3,
Navy,Yellow,2,5,1-6,Will Mumme,0,7,2,,,2,3,1,FALSE,1,6,1,
Navy,Yellow,2,5,1-6,Archie Littlejohn,0,1,6,,,0,0,0,FALSE,1,6,1,
Yellow,Navy,2,5,6-1,Luke Sharrock,0,6,2,,,0,6,4,TRUE,6,1,6,
Yellow,Navy,2,5,6-1,Max Razums,0,3,1,,,0,2,1,TRUE,6,1,4,
White,Green,2,5,6-3,Declan Croucher,2,5,3,,,0,3,0,TRUE,6,3,6,
White,Green,2,5,6-3,Quinn Feikema,1,8,0,,,0,2,3,TRUE,6,3,3,
Green,White,2,5,3-6,Jack Raines,0,7,3,,,1,2,1,FALSE,3,6,3,
Green,White,2,5,3-6,Ted Angel,0,11,3,,,1,2,1,FALSE,3,6,,
Orange,Red,2,5,5-5,Ed Simpson,2,11,4,,,4,3,4,TRUE,5,5,6,
Orange,Red,2,5,5-5,Jimmy Gorton,0,3,4,,,2,3,0,TRUE,5,5,4,
Red,Orange,2,5,5-5,Lewis Mossman,0,14,4,,,4,3,6,FALSE,5,5,,
Red,Orange,2,5,5-5,Ethan Seamer,0,3,0,,,2,3,2,FALSE,5,5,2,
Pink,Red,2,6,5-5,Jonathan Kierce,0,5,1,,,1,6,4,TRUE,5,5,2,
Pink,Red,2,6,5-5,Damon Maurice,0,7,2,,,0,3,0,TRUE,5,5,,
Red,Pink,2,6,5-5,Ethan Seamer,0,9,2,,,1,6,2,FALSE,5,5,5,
Red,Pink,2,6,5-5,Lewis Mossman,3,7,2,,,2,8,2,FALSE,5,5,5,
Yellow,Light Blue,2,6,6-3,Luke Sharrock,0,14,1,,,0,3,4,TRUE,6,3,6,
Yellow,Light Blue,2,6,6-3,Max Razums,0,9,2,,,0,1,1,TRUE,6,3,1,
Light Blue,Yellow,2,6,3-6,Angus Hume,0,6,3,,,1,3,3,FALSE,3,6,4,
